CODIGO;MUNICIPIO;MUNICIPALES_PRIMERA;PARTICULARES_PRIMERA;SUBVENCIONADOS_PRIMERA;450_MUNICIPALES;450_PARTICULARES;450_SUBVENCIONADOS
10207;QUEILÉN;24;0;0;13;0;0
10208;QUELLÓN;130;0;55;69;0;34
10209;QUEMCHI;15;0;0;7;0;0
10210;QUINCHAO;72;0;35;41;0;23
10301;OSORNO;701;247;820;496;244;537
10302;PUERTO OCTAY;9;0;19;3;0;14
10303;PURRANQUE;73;0;130;32;0;94
10304;PUYEHUE;23;0;35;11;0;15
10305;RÍO NEGRO;64;0;28;34;0;19
10306;SAN JUAN DE LA COSTA;6;0;8;1;0;2
10307;SAN PABLO;39;0;13;23;0;7
10401;CHAITÉN;32;0;0;20;0;0
10402;FUTALEUFÚ;25;0;0;16;0;0
10403;HUALAIHUÉ;43;0;18;27;0;12
10404;PALENA;17;0;0;14;0;0
11101;COYHAIQUE;159;0;736;72;0;450
11102;LAGO VERDE;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado
11201;AYSÉN;122;0;169;46;0;121
11202;CISNES;60;0;0;29;0;0
11203;GUAITECAS;15;0;0;7;0;0
11301;COCHRANE;42;0;0;21;0;0
11302;O´HIGGINS;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado
11303;TORTEL;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado
11401;CHILE CHICO;36;0;0;29;0;0
11402;RÍO IBÁÑEZ;4;0;0;1;0;0
12101;PUNTA ARENAS;425;199;532;216;177;385
12102;LAGUNA BLANCA;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado
12103;RÍO VERDE;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado
12104;SAN GREGORIO;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado
12201;CABO DE HORNOS;13;0;0;7;0;0
12301;PORVENIR;110;0;39;30;0;11
